45,46,47,47,47,47,109,110,111,110,111,343,109,109,110,111,-1,465,465,465
77,78,79,79,79,79,141,142,143,142,143,341,141,141,142,143,-1,-1,464,465
-1,-1,401,-1,401,401,363,364,343,341,341,-1,-1,-1,373,-1,-1,465,-1,464
-1,-1,401,-1,401,-1,361,-1,343,-1,-1,-1,-1,373,-1,-1,-1,464,464,465
-1,-1,401,401,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,373,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,373,-1,373,-1,-1,-1,-1,-1
-1,-1,433,434,433,434,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
342,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
340,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
411,411,411,411,411,411,411,411,411,-1,408,411,411,411,411,410,410,410,410,410
