40,41,41,41,41,41,504,-1,-1,-1,-1,391,384,386,385,386,387,388,391,-1
299,297,298,299,298,298,504,-1,-1,-1,-1,423,416,418,417,418,419,420,423,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,448,449,-1,-1,-1,-1
448,449,-1,-1,448,449,440,-1,-1,-1,-1,-1,389,389,389,389,389,389,-1,-1
448,449,-1,-1,448,449,472,-1,-1,-1,-1,-1,421,421,421,421,421,421,-1,-1
448,449,390,390,448,449,472,-1,-1,-1,-1,-1,448,449,448,449,448,449,-1,-1
-1,-1,422,422,-1,-1,472,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
408,409,410,408,409,410,504,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
408,408,408,408,409,410,408,409,410,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
