808,808,808,808,808,808,808,808,808,808,808,808,808,808,808,808,808,488,459,459
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,488,459,459
424,425,457,425,424,425,-1,-1,-1,-1,-1,-1,-1,-1,-1,174,174,488,459,459
456,457,457,425,424,425,-1,-1,440,-1,-1,-1,441,-1,-1,206,206,488,459,459
489,489,-1,-1,456,457,-1,-1,472,-1,-1,-1,473,173,173,-1,-1,488,459,459
489,489,389,-1,424,424,-1,389,472,-1,-1,-1,473,205,205,459,459,459,459,459
-1,-1,421,-1,-1,-1,-1,421,472,-1,-1,-1,473,459,459,459,459,459,459,459
448,449,448,449,448,449,448,449,504,-1,-1,-1,473,459,459,459,459,459,459,459
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,473,459,459,491,491,491,491,491
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,505,491,491,491,491,491,491,491
412,413,413,413,413,413,413,413,414,-1,412,413,414,491,491,491,491,491,491,491
